date,lake_level,lake_extent_km2,water_depth,volume_km3
1948-05-19,1134.659,66843.59837445273,1134.659,75844.69048795817
1948-05-20,1134.659,66843.59837445273,1134.659,75844.69048795817
1948-05-21,1134.679,66844.59032159885,1134.679,75847.15290152148
1948-05-22,1134.679,66844.59032159885,1134.679,75847.15290152148
1948-05-23,1134.679,66844.59032159885,1134.679,75847.15290152148
1948-05-24,1134.679,66844.59032159885,1134.679,75847.15290152148
1948-05-25,1134.679,66844.59032159885,1134.679,75847.15290152148
1948-05-26,1134.679,66844.59032159885,1134.679,75847.15290152148
1948-05-27,1134.599,66842.3584405201,1134.599,75839.27304425566
1948-05-28,1134.599,66842.3584405201,1134.599,75839.27304425566
1948-05-29,1134.599,66842.3584405201,1134.599,75839.27304425566
1948-05-30,1134.634,66842.60642730663,1134.634,75841.89390104063
1948-05-31,1134.639,66842.85441409315,1134.639,75842.50948955223
1948-06-01,1134.634,66842.60642730663,1134.634,75841.89390104063
1948-06-02,1134.669,66843.59837445273,1134.669,75845.35892394191
1948-06-03,1134.659,66843.59837445273,1134.659,75844.69048795817
1948-06-04,1134.659,66843.59837445273,1134.659,75844.69048795817
1948-06-05,1134.659,66843.59837445273,1134.659,75844.69048795817
1948-06-06,1134.654,66843.3503876662,1134.654,75844.074890767
1948-06-07,1134.659,66843.59837445273,1134.659,75844.69048795817
1948-06-08,1134.584,66842.3584405201,1134.584,75838.27040887906
1948-06-09,1134.589,66842.3584405201,1134.589,75838.60462067126
1948-06-10,1134.639,66842.85441409315,1134.639,75842.50948955223
1948-06-11,1134.689,66844.59032159885,1134.689,75847.82134742469
1948-06-12,1134.689,66844.59032159885,1134.689,75847.82134742469
1948-06-13,1134.669,66843.59837445273,1134.669,75845.35892394191
1948-06-14,1134.659,66843.59837445273,1134.659,75844.69048795817
1948-06-15,1134.659,66843.59837445273,1134.659,75844.69048795817
1948-06-16,1134.659,66843.59837445273,1134.659,75844.69048795817
1948-06-17,1134.659,66843.59837445273,1134.659,75844.69048795817
1948-06-18,1134.659,66843.59837445273,1134.659,75844.69048795817
1948-06-19,1134.659,66843.59837445273,1134.659,75844.69048795817
1948-06-20,1134.659,66843.59837445273,1134.659,75844.69048795817
1948-06-21,1134.699,66845.0862951719,1134.699,75849.05257404527
1948-06-22,1134.699,66845.0862951719,1134.699,75849.05257404527
1948-06-23,1134.699,66845.0862951719,1134.699,75849.05257404527
1948-06-24,1134.704,66845.0862951719,1134.704,75849.38679947675
1948-06-25,1134.609,66842.3584405201,1134.609,75839.94146784006
1948-06-26,1134.609,66842.3584405201,1134.609,75839.94146784006
1948-06-27,1134.609,66842.3584405201,1134.609,75839.94146784006
1948-06-28,1134.599,66842.3584405201,1134.599,75839.27304425566
1948-06-29,1134.619,66842.3584405201,1134.619,75840.60989142446
1948-06-30,1134.639,66842.85441409315,1134.639,75842.50948955223
1948-07-01,1134.629,66842.60642730663,1134.629,75841.55968800849
1948-07-02,1134.599,66842.3584405201,1134.599,75839.27304425566
1948-07-03,1134.639,66842.85441409315,1134.639,75842.50948955223
1948-07-04,1134.609,66842.3584405201,1134.609,75839.94146784006
1948-07-05,1134.619,66842.3584405201,1134.619,75840.60989142446
1948-07-06,1134.619,66842.3584405201,1134.619,75840.60989142446
1948-07-07,1134.619,66842.3584405201,1134.619,75840.60989142446
1948-07-08,1134.619,66842.3584405201,1134.619,75840.60989142446
1948-07-09,1134.559,66842.11045373358,1134.559,75836.3179942775
