date,lake_level,lake_extent_km2
1948-11-29,1134.439,66841.61448016053
1948-11-30,1134.439,66841.61448016053
1948-12-01,1134.429,66841.61448016053
1948-12-02,1134.429,66841.61448016053
1948-12-03,1134.429,66841.61448016053
1948-12-04,1134.429,66841.61448016053
1948-12-05,1134.429,66841.61448016053
1948-12-06,1134.429,66841.61448016053
1948-12-07,1134.429,66841.61448016053
1948-12-08,1134.429,66841.61448016053
1948-12-09,1134.429,66841.61448016053
1948-12-10,1134.429,66841.61448016053
1948-12-11,1134.439,66841.61448016053
1948-12-12,1134.439,66841.61448016053
1948-12-13,1134.439,66841.61448016053
1948-12-14,1134.439,66841.61448016053
1948-12-15,1134.439,66841.61448016053
1948-12-16,1134.439,66841.61448016053
1948-12-17,1134.439,66841.61448016053
1948-12-18,1134.439,66841.61448016053
1948-12-19,1134.439,66841.61448016053
1948-12-20,1134.439,66841.61448016053
1948-12-21,1134.439,66841.61448016053
1948-12-22,1134.439,66841.61448016053
1948-12-23,1134.439,66841.61448016053
1948-12-24,1134.439,66841.61448016053
1948-12-25,1134.439,66841.61448016053
1948-12-26,1134.439,66841.61448016053
1948-12-27,1134.439,66841.61448016053
1948-12-28,1134.399,66841.61448016053
1948-12-29,1134.399,66841.61448016053
1948-12-30,1134.399,66841.61448016053
1948-12-31,1134.399,66841.61448016053
1949-01-01,1134.399,66841.61448016053
1949-01-02,1134.399,66841.61448016053
1949-01-03,1134.419,66841.61448016053
1949-01-04,1134.419,66841.61448016053
1949-01-05,1134.419,66841.61448016053
1949-01-06,1134.424,66841.61448016053
1949-01-07,1134.419,66841.61448016053
1949-01-08,1134.419,66841.61448016053
1949-01-09,1134.419,66841.61448016053
1949-01-10,1134.419,66841.61448016053
1949-01-11,1134.419,66841.61448016053
1949-01-12,1134.419,66841.61448016053
1949-01-13,1134.419,66841.61448016053
1949-01-14,1134.419,66841.61448016053
1949-01-15,1134.379,66841.366493374
1949-01-16,1134.379,66841.366493374
1949-01-17,1134.369,66841.366493374
1949-01-18,1134.369,66841.366493374
1949-01-19,1134.369,66841.366493374
1949-01-20,1134.369,66841.366493374
1949-01-21,1134.369,66841.366493374
1949-01-22,1134.359,66841.366493374
1949-01-23,1134.359,66841.366493374
1949-01-24,1134.359,66841.366493374
1949-01-25,1134.329,66841.366493374
1949-01-26,1134.329,66841.366493374
1949-01-27,1134.329,66841.366493374
1949-01-28,1134.329,66841.366493374
1949-01-29,1134.329,66841.366493374
1949-01-30,1134.329,66841.366493374
1949-01-31,1134.329,66841.366493374
1949-02-01,1134.389,66841.61448016053
1949-02-02,1134.339,66841.366493374
1949-02-03,1134.339,66841.366493374
1949-02-04,1134.339,66841.366493374
1949-02-05,1134.359,66841.366493374
1949-02-06,1134.299,66841.366493374
1949-02-07,1134.359,66841.366493374
1949-02-08,1134.359,66841.366493374
1949-02-09,1134.359,66841.366493374
1949-02-10,1134.359,66841.366493374
1949-02-11,1134.359,66841.366493374
1949-02-12,1134.359,66841.366493374
1949-02-13,1134.359,66841.366493374
1949-02-14,1134.359,66841.366493374
1949-02-15,1134.339,66841.366493374
1949-02-16,1134.319,66841.366493374
1949-02-17,1134.319,66841.366493374
1949-02-18,1134.319,66841.366493374
1949-02-19,1134.319,66841.366493374
1949-02-20,1134.319,66841.366493374
1949-02-21,1134.339,66841.366493374
1949-02-22,1134.319,66841.366493374
1949-02-23,1134.319,66841.366493374
1949-02-24,1134.319,66841.366493374
1949-02-25,1134.319,66841.366493374
1949-02-26,1134.319,66841.366493374
1949-02-27,1134.319,66841.366493374
1949-02-28,1134.319,66841.366493374
1949-03-01,1134.299,66841.366493374
1949-03-02,1134.299,66841.366493374
1949-03-03,1134.299,66841.366493374
1949-03-04,1134.279,66841.366493374
1949-03-05,1134.269,66841.366493374
1949-03-06,1134.269,66841.366493374
1949-03-07,1134.269,66841.366493374
1949-03-08,1134.269,66841.366493374
1949-03-09,1134.269,66841.366493374
1949-03-10,1134.249,66841.366493374
1949-03-11,1134.244,66841.366493374
1949-03-12,1134.239,66841.366493374
1949-03-13,1134.239,66841.366493374
1949-03-14,1134.239,66841.366493374
1949-03-15,1134.219,66841.366493374
1949-03-16,1134.219,66841.366493374
1949-03-17,1134.219,66841.366493374
1949-03-18,1134.219,66841.366493374
1949-03-19,1134.219,66841.366493374
1949-03-20,1134.229,66841.366493374
1949-03-21,1134.239,66841.366493374
1949-03-22,1134.239,66841.366493374
1949-03-23,1134.239,66841.366493374
1949-03-24,1134.239,66841.366493374
1949-03-25,1134.219,66841.366493374
1949-03-26,1134.219,66841.366493374
1949-03-27,1134.219,66841.366493374
1949-03-28,1134.219,66841.366493374
1949-03-29,1134.219,66841.366493374
1949-03-30,1134.189,66841.366493374
1949-03-31,1134.189,66841.366493374
1949-04-01,1134.179,66841.366493374
1949-04-02,1134.179,66841.366493374
1949-04-03,1134.179,66841.366493374
1949-04-04,1134.179,66841.366493374
1949-04-05,1134.199,66841.366493374
1949-04-06,1134.199,66841.366493374
1949-04-07,1134.219,66841.366493374
1949-04-08,1134.219,66841.366493374
1949-04-09,1134.219,66841.366493374
1949-04-10,1134.219,66841.366493374
1949-04-11,1134.219,66841.366493374
1949-04-12,1134.219,66841.366493374
1949-04-13,1134.279,66841.366493374
1949-04-14,1134.279,66841.366493374
1949-04-15,1134.279,66841.366493374
1949-04-16,1134.239,66841.366493374
1949-04-17,1134.239,66841.366493374
1949-04-18,1134.239,66841.366493374
1949-04-19,1134.239,66841.366493374
1949-04-20,1134.239,66841.366493374
1949-04-21,1134.299,66841.366493374
1949-04-22,1134.319,66841.366493374
1949-04-23,1134.299,66841.366493374
1949-04-24,1134.319,66841.366493374
1949-04-25,1134.319,66841.366493374
1949-04-26,1134.339,66841.366493374
1949-04-27,1134.339,66841.366493374
