depth_m,area_m2
8.18,377683875.9
8.19,379171796.6
8.2,381403677.7
8.21,382147638
8.22,383635558.8
8.23,384627505.9
8.24,385867439.8
8.25,387851334.1
8.26,390083215.2
8.27,390331202
8.28,391819122.7
8.29,392067109.5
8.3,392563083.1
8.31,393803017
8.32,394298990.6
8.33,394794964.2
8.34,395786911.3
8.35,397026845.2
8.36,398514765.9
8.37,399506713.1
8.38,399506713.1
8.39,400002686.7
8.4,400994633.8
8.41,402730541.3
8.42,403474501.7
8.43,404714435.6
8.44,405210409.2
8.45,406202356.3
8.46,407938263.8
8.47,408186250.6
8.48,409922158.1
8.49,410666118.5
8.5,410666118.5
8.51,412154039.2
8.52,413641959.9
8.53,414881893.9
8.54,416121827.8
8.55,416617801.4
8.56,417857735.3
8.57,419097669.2
8.58,420585589.9
8.59,421081563.5
8.6,422073510.7
8.61,423313444.6
8.62,425049352.1
8.63,426041299.3
8.64,426785259.6
8.65,427777206.8
8.66,428521167.1
8.67,429265127.5
8.68,429761101.1
8.69,431497008.6
8.7,431992982.1
8.71,433232916.1
8.72,434968823.6
8.73,436704731.1
8.74,437200704.6
8.75,437448691.4
8.76,438936612.2
8.77,439928559.3
8.78,440424532.9
8.79,442408427.2
8.8,443400374.3
8.81,444640308.2
8.82,446128229
8.83,447368162.9
8.84,448112123.3
8.85,448608096.8
8.86,449352057.2
8.87,451087964.7
8.88,452575885.4
8.89,453567832.6
8.9,454807766.5
8.91,456047700.4
8.92,457535621.1
8.93,458031594.7
8.94,458527568.3
8.95,460015489
8.96,461007436.2
8.97,462743343.7
8.98,463487304
8.99,464727238
9,466711132.2
9.01,467703079.4
9.02,468943013.3
9.03,469934960.5
9.04,470430934
9.05,470678920.8
9.06,472166841.5
9.07,472414828.3
9.08,473406775.5
9.09,473654762.3
9.1,474894696.2
9.11,476382616.9
9.12,477622550.9
9.13,477870537.6
9.14,478614498
9.15,479606445.1
9.16,480846379.1
9.17,481590339.4
9.18,483078260.2
9.19,483822220.5
9.2,485558128
9.21,485806114.8
9.22,487046048.7
9.23,488037995.9
9.24,488781956.2
9.25,489525916.6
9.26,491013837.3
9.27,492253771.3
9.28,493493705.2
9.29,495477599.5
9.3,496469546.6
9.31,497957467.3
9.32,498949414.5
9.33,501181295.6
9.34,502669216.3
9.35,504157137
9.36,504653110.6
9.37,506141031.3
9.38,507132978.4
9.39,508620899.2
9.4,510108819.9
9.41,510604793.5
9.42,513084661.3
9.43,513580634.9
9.44,514324595.3
9.45,515316542.4
9.46,517548423.5
9.47,518292383.8
9.48,518788357.4
9.49,520524264.9
9.5,520772251.7
9.51,521020238.5
9.52,521516212.1
9.53,522260172.4
9.54,523252119.6
9.55,524244066.7
9.56,524988027.1
9.57,526227961
9.58,526723934.6
9.59,528459842.1
9.6,528955815.7
9.61,529699776
9.62,530939710
9.63,531683670.3
9.64,532675617.5
9.65,534411525
9.66,535403472.1
9.67,536891392.8
9.68,538131326.8
9.69,538875287.1
9.7,539619247.5
9.71,540115221.1
9.72,541603141.8
9.73,543835022.9
9.74,545322943.6
9.75,546314890.7
9.76,547802811.4
9.77,549290732.2
9.78,550282679.3
9.79,551274626.4
9.8,552514560.4
9.81,553258520.7
9.82,554250467.9
9.83,555242415
9.84,555738388.6
9.85,557226309.3
9.86,557722282.9
9.87,558714230
9.88,560202150.8
9.89,561194097.9
9.9,562434031.8
9.91,563921952.6
9.92,565161886.5
9.93,566897794
9.94,567641754.4
9.95,569129675.1
9.96,570121622.2
9.97,571113569.4
9.98,572849476.9
9.99,573345450.5
10,574833371.2
10.01,575577331.5
10.02,577561225.8
10.03,578553173
10.04,579297133.3
10.05,580041093.7
10.06,582024988
10.07,583016935.1
10.08,583760895.5
10.09,585248816.2
10.1,585992776.6
10.11,586984723.7
10.12,588224657.6
10.13,588968618
10.14,590704525.5
10.15,591448485.9
10.16,592936406.6
10.17,594176340.5
10.18,594920300.9
10.19,595664261.2
10.2,596656208.4
10.21,597896142.3
10.22,598640102.7
10.23,600376010.2
10.24,600871983.8
10.25,601615944.1
10.26,603103864.8
10.27,603847825.2
10.28,604343798.8
10.29,605087759.1
10.3,605583732.7
10.31,607319640.2
10.32,608063600.6
10.33,609799508.1
10.34,611039442
10.35,611535415.6
10.36,612527362.7
10.37,613271323.1
10.38,614511257
10.39,615751190.9
10.4,617239111.7
10.41,618727032.4
10.42,620710926.7
10.43,622446834.2
10.44,624926702
10.45,625918649.2
10.46,626910596.3
10.47,628150530.3
10.48,629142477.4
10.49,630134424.6
10.5,632614292.4
10.51,634598186.7
10.52,636334094.2
10.53,637078054.6
10.54,639557922.5
10.55,640301882.8
10.56,641045843.2
10.57,641045843.2
10.58,642037790.3
10.59,643029737.5
10.6,643525711
10.61,644765645
10.62,645261618.5
10.63,646253565.7
10.64,646997526
10.65,648733433.6
10.66,649229407.1
10.67,650717327.8
10.68,651461288.2
10.69,652949208.9
10.7,653693169.3
10.71,653941156.1
10.72,654437129.6
10.73,655677063.6
10.74,657412971.1
10.75,658156931.4
10.76,658652905
10.77,659892838.9
10.78,661876733.2
10.79,663364654
10.8,663860627.5
10.81,664356601.1
10.82,666092508.6
10.83,668076402.9
10.84,669068350.1
10.85,670060297.2
10.86,671796204.7
10.87,672788151.8
10.88,674028085.8
10.89,674524059.4
10.9,675763993.3
10.91,677003927.2
10.92,679483795.1
10.93,681219702.6
10.94,682211649.7
10.95,683203596.9
10.96,684691517.6
10.97,686179438.3
10.98,688163332.6
10.99,689651253.3
11,691139174.1
11.01,691635147.6
11.02,693371055.1
11.03,694363002.3
11.04,695354949.4
11.05,696842870.1
11.06,698578777.6
11.07,699074751.2
11.08,700314685.2
11.09,701058645.5
11.1,701306632.3
11.11,701802605.9
11.12,703042539.8
11.13,704530460.5
11.14,706018381.2
11.15,707010328.4
11.16,707506302
11.17,708250262.3
11.18,710234156.6
11.19,710730130.2
11.2,712466037.7
11.21,713953958.4
11.22,714697918.8
11.23,716929799.8
11.24,717673760.2
11.25,719161680.9
11.26,720153628.1
11.27,720649601.6
11.28,722137522.4
11.29,723129469.5
11.3,725113363.8
11.31,726601284.5
11.32,727345244.9
11.33,728089205.2
11.34,729329139.2
11.35,730569073.1
11.36,731313033.5
11.37,732056993.8
11.38,732552967.4
11.39,733792901.3
11.4,735032835.3
11.41,736272769.2
11.42,737016729.6
11.43,738752637.1
11.44,739744584.2
11.45,740984518.1
11.46,742720425.6
11.47,743216399.2
11.48,744208346.4
11.49,745448280.3
11.5,747184187.8
11.51,748672108.5
11.52,749912042.5
11.53,752143923.5
11.54,754375804.6
11.55,755863725.3
11.56,756607685.7
11.57,757599632.8
11.58,758839566.8
11.59,761071447.9
11.6,763799302.5
11.61,763799302.5
11.62,765287223.2
11.63,766279170.4
11.64,768015077.9
11.65,768263064.7
11.66,769007025
11.67,770246959
11.68,771734879.7
11.69,773470787.2
11.7,774710721.1
11.71,776198641.8
11.72,777934549.3
11.73,778182536.1
11.74,779174483.3
11.75,780662404
11.76,780910390.8
11.77,781902337.9
11.78,782398311.5
11.79,783142271.9
11.8,783886232.2
11.81,784382205.8
11.82,785126166.1
11.83,785622139.7
11.84,787358047.2
11.85,788349994.4
11.86,789341941.5
11.87,789837915.1
11.88,790581875.4
11.89,793309730.1
11.9,794797650.8
11.91,795541611.2
11.92,796533558.3
11.93,797277518.7
11.94,799509399.8
11.95,800253360.1
11.96,801493294.1
11.97,803477188.3
11.98,805461082.6
11.99,806701016.6
12,807444976.9
12.01,808684910.9
12.02,809428871.2
12.03,810668805.2
12.04,811908739.1
12.05,813892633.4
12.06,814884580.5
12.07,816372501.2
12.08,818356395.5
12.09,819348342.7
12.1,820340289.8
12.11,821828210.6
12.12,823068144.5
12.13,824556065.2
12.14,825795999.1
12.15,827035933.1
12.16,828027880.2
12.17,829515800.9
12.18,830755734.9
12.19,831995668.8
12.2,832987615.9
12.21,833731576.3
12.22,835467483.8
12.23,836707417.7
12.24,837451378.1
12.25,838195338.5
12.26,839683259.2
12.27,840427219.5
12.28,841667153.5
12.29,842411113.8
12.3,842907087.4
12.31,844890981.7
12.32,845634942.1
12.33,846874876
12.34,848362796.7
12.35,849602730.6
12.36,851090651.4
12.37,853570519.2
12.38,855306426.7
12.39,856050387.1
12.4,857538307.8
12.41,858778241.7
12.42,859770188.9
12.43,860514149.2
12.44,862250056.8
12.45,864729924.6
12.46,866961805.7
12.47,868697713.2
12.48,870185633.9
12.49,871177581.1
12.5,872913488.6
12.51,873905435.7
12.52,874401409.3
12.53,875393356.4
12.54,876385303.6
12.55,877873224.3
12.56,878617184.7
12.57,880105105.4
12.58,882088999.7
12.59,883328933.6
12.6,884320880.8
12.61,886552761.8
12.62,888536656.1
12.63,889528603.3
12.64,891264510.8
12.65,892504444.7
12.66,894488339
12.67,895232299.4
12.68,896968206.9
12.69,899200087.9
12.7,899944048.3
12.71,901679955.8
12.72,902423916.2
12.73,903663850.1
12.74,905647744.4
12.75,907383651.9
12.76,909119559.4
12.77,909863519.8
12.78,911103453.7
12.79,911599427.3
12.8,913583321.6
12.81,914823255.5
12.82,915815202.6
12.83,916807149.8
12.84,918295070.5
12.85,920526951.6
12.86,921766885.5
12.87,923006819.5
12.88,923998766.6
12.89,925486687.3
12.9,926478634.5
12.91,927718568.4
12.92,928958502.3
12.93,930694409.8
12.94,931686357
12.95,933918238.1
12.96,935158172
12.97,936398105.9
12.98,937886026.6
12.99,938629987
13,939125960.6
13.01,939869920.9
13.02,941853815.2
13.03,942597775.6
13.04,944085696.3
13.05,945821603.8
13.06,946813551
13.07,947557511.3
13.08,948797445.3
13.09,949789392.4
13.1,952765233.8
13.11,954501141.3
13.12,956485035.6
13.13,958220943.1
13.14,959956850.6
13.15,961196784.6
13.16,963676652.4
13.17,965660546.7
13.18,967148467.5
13.19,967892427.8
13.2,969132361.7
13.21,971116256
13.22,973348137.1
13.23,975332031.4
13.24,977563912.5
13.25,978555859.6
13.26,981035727.5
13.27,982027674.6
13.28,982523648.2
13.29,983515595.4
13.3,985003516.1
13.31,985995463.2
13.32,986739423.6
13.33,987979357.5
13.34,988475331.1
13.35,989715265
13.36,990459225.4
13.37,992939093.3
13.38,993683053.6
13.39,995170974.3
13.4,996162921.5
13.41,997650842.2
13.42,999634736.5
13.43,1001370644
13.44,1001866618
13.45,1003106552
13.46,1004346485
13.47,1006330380
13.48,1007074340
13.49,1008810248
13.5,1010298168
13.51,1012034076
13.52,1013274010
13.53,1014017970
13.54,1014761930
13.55,1016745825
13.56,1018481732
13.57,1019473679
13.58,1021457574
13.59,1023193481
13.6,1024433415
13.61,1025921336
13.62,1027409257
13.63,1028649191
13.64,1031377045
13.65,1033856913
13.66,1034848860
13.67,1036336781
13.68,1038320675
13.69,1039808596
13.7,1041792490
13.71,1044024371
13.72,1045512292
13.73,1045512292
13.74,1047496186
13.75,1048984107
13.76,1049480081
13.77,1051463975
13.78,1053447869
13.79,1054935790
13.8,1055679750
13.81,1056919684
13.82,1057167671
13.83,1058407605
